date,region,product,category,units_sold,revenue,cost
2024-01-15,Northeast,Widget A,Electronics,120,3600,2400
2024-01-15,Southeast,Widget B,Electronics,85,2550,1700
2024-01-15,West,Gadget X,Home,200,6000,3800
2024-01-15,Midwest,Widget A,Electronics,95,2850,1900
2024-02-15,Northeast,Gadget X,Home,150,4500,2850
2024-02-15,Southeast,Widget A,Electronics,110,3300,2200
2024-02-15,West,Widget B,Electronics,130,3900,2600
2024-02-15,Midwest,Gadget Y,Home,75,3750,2250
2024-03-15,Northeast,Widget B,Electronics,140,4200,2800
2024-03-15,Southeast,Gadget Y,Home,90,4500,2700
2024-03-15,West,Widget A,Electronics,160,4800,3200
2024-03-15,Midwest,Gadget X,Home,110,3300,2090
2024-04-15,Northeast,Gadget Y,Home,100,5000,3000
2024-04-15,Southeast,Widget A,Electronics,125,3750,2500
2024-04-15,West,Gadget X,Home,180,5400,3420
2024-04-15,Midwest,Widget B,Electronics,70,2100,1400
2024-05-15,Northeast,Widget A,Electronics,135,4050,2700
2024-05-15,Southeast,Gadget X,Home,95,2850,1805
2024-05-15,West,Widget B,Electronics,145,4350,2900
2024-05-15,Midwest,Gadget Y,Home,80,4000,2400
2024-06-15,Northeast,Gadget X,Home,170,5100,3230
2024-06-15,Southeast,Widget B,Electronics,100,3000,2000
2024-06-15,West,Widget A,Electronics,190,5700,3800
2024-06-15,Midwest,Widget A,Electronics,105,3150,2100
2024-07-15,Northeast,Widget B,Electronics,155,4650,3100
2024-07-15,Southeast,Gadget Y,Home,115,5750,3450
2024-07-15,West,Gadget X,Home,210,6300,3990
2024-07-15,Midwest,Widget B,Electronics,90,2700,1800
2024-08-15,Northeast,Widget A,Electronics,145,4350,2900
2024-08-15,Southeast,Widget A,Electronics,130,3900,2600
2024-08-15,West,Gadget Y,Home,85,4250,2550
2024-08-15,Midwest,Gadget X,Home,120,3600,2280
2024-09-15,Northeast,Gadget Y,Home,110,5500,3300
2024-09-15,Southeast,Gadget X,Home,140,4200,2660
2024-09-15,West,Widget A,Electronics,175,5250,3500
2024-09-15,Midwest,Widget A,Electronics,100,3000,2000
2024-10-15,Northeast,Widget A,Electronics,160,4800,3200
2024-10-15,Southeast,Widget B,Electronics,120,3600,2400
2024-10-15,West,Widget B,Electronics,155,4650,3100
2024-10-15,Midwest,Gadget Y,Home,95,4750,2850
2024-11-15,Northeast,Gadget X,Home,185,5550,3515
2024-11-15,Southeast,Widget A,Electronics,140,4200,2800
2024-11-15,West,Gadget X,Home,220,6600,4180
2024-11-15,Midwest,Widget B,Electronics,85,2550,1700
2024-12-15,Northeast,Widget B,Electronics,170,5100,3400
2024-12-15,Southeast,Gadget Y,Home,125,6250,3750
2024-12-15,West,Widget A,Electronics,200,6000,4000
2024-12-15,Midwest,Gadget X,Home,130,3900,2470
